CourtName,Area,DayOfHearing,DayPrinted,DateDifferenceHearingToResult,ResultType,DayOfPreviousCheck,AMPMofPreviousCheck,BestPredDay,BestPredAMPM,DateDifbetweenPrintingAndLastCheck
Maidstone,H,Wednesday,Monday,5,Result,Friday,AM,Wednesday,AM,3
Maidstone,H,Wednesday,Monday,5,Result,Friday,AM,Wednesday,AM,3
Guildford,H,Wednesday,Monday,5,Result,Friday,AM,Wednesday,AM,3
Highgate,L,Wednesday,Monday,5,Result,Friday,AM,Wednesday,AM,3
LavenderHill,H,Wednesday,Monday,5,Result,Friday,AM,Wednesday,AM,3
Croydon,H,Wednesday,Monday,5,Result,Friday,AM,Wednesday,AM,3
BrightonandHove,H,Wednesday,Monday,5,Result,Friday,AM,Wednesday,AM,3
Colchester,B,Wednesday,Monday,5,Result,Friday,AM,Wednesday,AM,3
Thames,B,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Croydon,H,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Worthing,H,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Worthing,H,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Chelmsford,L,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Blackfriars,L,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Blackfriars,L,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Blackfriars,L,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Blackfriars,L,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Maidstone,H,Wednesday,Tuesday,6,Adjournment,Monday,AM,Sunday,PM,1
Ipswitch,B,Wednesday,Monday,5,Adjournment,Thursday,AM,Tuesday,AM,4
Ipswitch,B,Wednesday,Monday,5,Result,Thursday,AM,Tuesday,AM,4
Highgate,B,Wednesday,Tuesday,6,Result,Monday,PM,Monday,AM,1
Aylesbury,B,Wednesday,Tuesday,6,Result,Monday,PM,Monday,AM,1
Ealing,H,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Barkingside,L,Wednesday,Friday,2,Bailconditions,Null,Null,Friday,AM,NotCheckedBefore
Wimbledon,H,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Reading,H,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Westminster,B,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Westminster,B,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Westminster,B,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
