CourtName,Area,DayOfHearing,DayPrinted,DateDifferenceHearingToResult,ResultType,DayOfPreviousCheck,AMPMofPreviousCheck,BestPredDay,BestPredAMPM,DateDifbetweenPrintingAndLastCheck
Croydon,H,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
CityofLondon,L,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Margate,H,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Maidstone,H,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Stevenage,B,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Bexley,H,Friday,Wednesday,5,Adjournment,Tuesday,AM,,PM,1
Uxbridge,L,Friday,Wednesday,5,Adjournment,Tuesday,AM,,PM,1
Croydon,H,Friday,Wednesday,5,Adjournment,Tuesday,AM,,PM,1
Croydon,H,Friday,Thursday,6,Adjournment,Wednesday,AM,,PM,1
Willesden,L,Friday,Thursday,6,BailConditions,Wednesday,AM,,PM,1
Basildon,B,Friday,Thursday,6,Adjournment,Tuesday,AM,,PM,2
Croydon,H,Friday,Wednesday,5,Adjournment,Tuesday,AM,,PM,1
StAlbans,B,Friday,Wednesday,5,Warrant,Tuesday,AM,,PM,1
Westminster,B,Friday,Tuesday,4,Result,Null,Null,,PM,NotCheckedBefore
Westminster,L,Friday,Tuesday,4,Result,Null,Null,,PM,NotCheckedBefore
Westminster,H,Friday,Tuesday,4,Result,Null,Null,,PM,NotCheckedBefore
Westminster,L,Friday,Tuesday,4,Result,Null,Null,,PM,NotCheckedBefore
Westminster,H,Friday,Tuesday,4,Result,Null,Null,,PM,NotCheckedBefore
Westminster,L,Friday,Tuesday,4,Result,Null,Null,,PM,NotCheckedBefore
Westminster,L,Friday,Tuesday,4,Result,Null,Null,,PM,NotCheckedBefore
Westminster,L,Friday,Tuesday,4,Result,Null,Null,,PM,NotCheckedBefore
Westminster,H,Friday,Tuesday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
Westminster,B,Friday,Tuesday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
Westminster,H,Friday,Tuesday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
Westminster,L,Friday,Tuesday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
Westminster,B,Friday,Tuesday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
Westminster,B,Friday,Tuesday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
Westminster,B,Friday,Tuesday,4,BailConditions,Null,Null,,PM,NotCheckedBefore
Fareham,H,Friday,Tuesday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
CityofLondon,B,Friday,Tuesday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
Thames,L,Friday,Tuesday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
Thames,L,Friday,Tuesday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
Thames,L,Friday,Tuesday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
Crawley,H,Friday,Tuesday,4,Result,Null,Null,,PM,NotCheckedBefore
Blackfriars,H,Friday,Tuesday,4,Result,Null,Null,,PM,NotCheckedBefore
Blackfriars,L,Friday,Tuesday,4,BailConditions,Null,Null,,PM,NotCheckedBefore
Thames,L,Friday,Tuesday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
CamberwellGreen,H,Friday,Tuesday,4,Result,Null,Null,,PM,NotCheckedBefore
Folkestone,H,Friday,Tuesday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
Maidstone,H,Friday,Tuesday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
Hammersmith,H,Friday,Tuesday,4,Result,Null,Null,,PM,NotCheckedBefore
Cambridge,B,Friday,Monday,3,Adjournment,Null,Null,,AM,NotCheckedBefore
Blackfriars,B,Friday,Monday,3,Result,Null,Null,,AM,NotCheckedBefore
Maidstone,H,Friday,Monday,3,BailConditions,Null,Null,,AM,NotCheckedBefore
Westminster,B,Saturday,Tuesday,3,Result,Null,Null,,PM,NotCheckedBefore
Westminster,L,Saturday,Tuesday,3,Result,Null,Null,,PM,NotCheckedBefore
Blackfriars,H,Monday,Thursday,3,Warrant,Wednesday,AM,,PM,1
Hammersmith,L,Monday,Thursday,3,Result,Wednesday,AM,,PM,1
Hammersmith,L,Monday,Wednesday,2,Adjournment,Wednesday,AM,,PM,0
HighburyCorner,L,Monday,Thursday,3,Adjournment,Wednesday,AM,,PM,1
Thames,L,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Thames,L,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Thames,L,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Croydon,H,Monday,Wednesday,2,BailConditions,Null,Null,,PM,NotCheckedBefore
Croydon,H,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Thames,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Norwich,B,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Medway,H,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Dartford,H,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Medway,H,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Dartford,H,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
CityofLondon,B,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Blackfriars,H,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Dartford,H,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Hammersmith,B,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Hammersmith,B,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Hammersmith,H,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Hammersmith,H,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Romford,B,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Blackfriars,L,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Medway,H,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Romford,B,Monday,Wednesday,2,BailConditions,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Hammersmith,H,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Blackfriars,B,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,B,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,H,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,B,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,B,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,H,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,H,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,H,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,B,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,B,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Monday,Tuesday,1,Adjournment,Null,Null,,AM,NotCheckedBefore
StAlbans,B,Monday,Tuesday,1,BailConditions,Null,Null,,AM,NotCheckedBefore
Westminster,H,Monday,Tuesday,1,Adjournment,Null,Null,,AM,NotCheckedBefore
Blackfriars,B,Monday,Tuesday,1,Result,Null,Null,,AM,NotCheckedBefore
Redhill,H,Monday,Thursday,3,Adjournment,Null,Null,,PM,NotCheckedBefore
Thames,L,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Cambridge,B,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Cambridge,B,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Cambridge,B,Monday,Wednesday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Peterborough,B,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Cambridge,B,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
Cambridge,B,Monday,Wednesday,2,Result,Null,Null,,PM,NotCheckedBefore
StAlbans,B,Monday,Thursday,3,Adjournment,Null,Null,,PM,NotCheckedBefore
CityofLondon,B,Tuesday,Thursday,2,Warrant,Null,Null,,PM,NotCheckedBefore
CityofLondon,B,Tuesday,Thursday,2,Warrant,Null,Null,,PM,NotCheckedBefore
CityofLondon,H,Tuesday,Thursday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
CityofLondon,B,Tuesday,Thursday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Eastbourne,H,Tuesday,Thursday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
CityofLondon,H,Tuesday,Thursday,2,Result,Null,Null,,PM,NotCheckedBefore
Tottenham,B,Tuesday,Thursday,2,Result,Null,Null,,PM,NotCheckedBefore
Staines,H,Tuesday,Thursday,2,Result,Null,Null,,PM,NotCheckedBefore
Cambridge,B,Tuesday,Wednesday,1,BailConditions,Null,Null,,AM,NotCheckedBefore
Canterbury,H,Tuesday,Thursday,2,Warrant,Null,Null,,PM,NotCheckedBefore
Folkestone,H,Tuesday,Thursday,2,BailConditions,Null,Null,,PM,NotCheckedBefore
Croydon,H,Tuesday,Thursday,2,Non-recResult,Null,Null,,PM,NotCheckedBefore
Thames,L,Tuesday,Thursday,2,Result,Null,Null,,PM,NotCheckedBefore
Thames,L,Tuesday,Thursday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Thames,L,Tuesday,Thursday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Thames,L,Tuesday,Thursday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Croydon,H,Tuesday,Thursday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Snaresbrook,L,Tuesday,Thursday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Winchester,H,Tuesday,Thursday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Maidstone,H,Wednesday,Thursday,1,Warrant,Null,Null,,AM,NotCheckedBefore
Reading,H,Tuesday,Tuesday,7,Bailcondition,Null,Null,,PM,NotCheckedBefore
Westminster,L,Monday,Thursday,3,Adjournment,Wednesday,AM,,PM,1
Westminster,H,Monday,Thursday,3,Adjournment,Wednesday,AM,,PM,1
Westminster,H,Monday,Thursday,3,Adjournment,Wednesday,AM,,PM,1
Westminster,L,Monday,Thursday,3,Adjournment,Wednesday,AM,,PM,1
Westminster,L,Monday,Thursday,3,BailConditions,Wednesday,AM,,PM,1
Westminster,B,Monday,Thursday,3,Result,Wednesday,AM,,PM,1
Westminster,L,Monday,Thursday,3,Result,Wednesday,AM,,PM,1
Westminster,B,Monday,Thursday,3,Result,Wednesday,AM,,PM,1
Westminster,L,Monday,Thursday,3,Result,Wednesday,AM,,PM,1
Westminster,L,Monday,Thursday,3,Result,Wednesday,AM,,PM,1
Westminster,H,Tuesday,Thursday,2,Adjournment,Wednesday,AM,,PM,1
Westminster,B,Tuesday,Thursday,2,Adjournment,Wednesday,AM,,PM,1
Westminster,L,Tuesday,Thursday,2,Adjournment,Wednesday,AM,,PM,1
Westminster,B,Tuesday,Thursday,2,Adjournment,Wednesday,AM,,PM,1
Westminster,H,Tuesday,Thursday,2,Adjournment,Wednesday,AM,,PM,1
Westminster,L,Tuesday,Thursday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Westminster,H,Tuesday,Thursday,2,Adjournment,Wednesday,AM,,PM,1
Westminster,L,Tuesday,Thursday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Westminster,L,Tuesday,Thursday,2,BailConditions,Wednesday,AM,,PM,1
Westminster,B,Tuesday,Thursday,2,Result,Wednesday,AM,,PM,1
Westminster,B,Tuesday,Thursday,2,Result,Wednesday,AM,,PM,1
Westminster,H,Tuesday,Thursday,2,Result,Wednesday,AM,,PM,1
Westminster,H,Tuesday,Thursday,2,Result,Wednesday,AM,,PM,1
Westminster,B,Tuesday,Thursday,2,Result,Wednesday,AM,,PM,1
Westminster,H,Tuesday,Thursday,2,Warrant,Wednesday,AM,,PM,1
Westminster,B,Tuesday,Thursday,2,Warrant,Wednesday,AM,,PM,1
Guildford,H,Monday,Friday,4,Result,Thursday,AM,,PM,1
Portsmouth,H,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
Staines,H,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Redhill,H,Wednesday,Friday,2,Warrant,Null,Null,,AM,NotCheckedBefore
Reading,B,Monday,Friday,4,Result,Wednesday,PM,,AM,2
Reading,B,Monday,Friday,4,Adjournment,Wednesday,PM,,AM,2
Blackfriars,H,Monday,Friday,4,Adjournment,Wednesday,PM,,AM,2
Hammersmith,,Wednesday,Friday,2,BailConditions,Null,Null,,AM,NotCheckedBefore
Peterborough,B,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
Oxford,B,Wednesday,Friday,2,Result,Friday,PM,,AM,0
EastBerkshire,B,Monday,Friday,4,Adjournment,Wednesday,PM,,AM,2
MiltonKeynes,B,Wednesday,Friday,2,BailConditions,Null,Null,,AM,NotCheckedBefore
Reading,B,Friday,Friday,7,BailConditions,Tuesday,AM,,PM,3
Ealing,B,Tuesday,Friday,3,Adjournment,Thursday,AM,,PM,1
Bromley,H,Tuesday,Friday,3,Adjournment,Thursday,AM,,PM,1
Bromley,H,Tuesday,Friday,3,Adjournment,Thursday,AM,,PM,1
Croydon,H,Thursday,Friday,1,Adjournment,Null,Null,,AM,NotCheckedBefore
Blackfriars,H,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Blackfriars,B,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Blackfriars,B,Thursday,Friday,1,Adjournment,Null,Null,,AM,NotCheckedBefore
Ealing,B,Tuesday,Friday,3,BailConditions,Thursday,AM,,PM,1
StAlbans,B,Wednesday,Friday,2,BailConditions,Null,Null,,AM,NotCheckedBefore
Blackfriars,L,Wednesday,Friday,2,BailConditions,Null,Null,,AM,NotCheckedBefore
Blackfriars,H,Wednesday,Friday,2,BailConditions,Null,Null,,AM,NotCheckedBefore
Ealing,B,Tuesday,Friday,3,Result,Thursday,AM,,PM,1
Ealing,L,Tuesday,Friday,3,Result,Thursday,AM,,PM,1
Greenwich,H,Monday,Friday,4,Result,Thursday,AM,,PM,1
StAlbans,B,Tuesday,Friday,3,Result,Thursday,AM,,PM,1
Stevenage,B,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
Willesden,B,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
Westminster,B,Tuesday,Friday,3,Result,Wednesday,AM,,PM,2
Westminster,L,Tuesday,Friday,3,Result,Null,Null,,PM,NotCheckedBefore
Westminster,L,Tuesday,Friday,3,Adjournment,Wednesday,AM,,PM,2
Westminster,L,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,B,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
Westminster,H,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,BailConditions,Null,Null,,AM,NotCheckedBefore
Westminster,H,Wednesday,Friday,2,BailConditions,Null,Null,,AM,NotCheckedBefore
Bromley,H,Tuesday,Friday,3,Result,Thursday,AM,,PM,1
Bromley,H,Tuesday,Friday,3,Result,Thursday,AM,,PM,1
Bromley,H,Tuesday,Friday,3,Result,Thursday,AM,,PM,1
Bromley,H,Tuesday,Friday,3,Result,Thursday,AM,,PM,1
Thames,L,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
Croydon,H,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
Croydon,H,Thursday,Friday,15,Result,Null,Null,,Unknown,NotCheckedBefore
Croydon,H,Tuesday,Friday,3,Adjournment,Null,Null,,PM,NotCheckedBefore
CityofLondon,L,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Bromley,H,Tuesday,Friday,3,Adjournment,Thursday,AM,,PM,1
Horsham,H,Wednesday,Tuesday,6,Result,Monday,AM,,PM,1
Worthing,H,Thursday,Tuesday,5,Result,Monday,AM,,PM,1
Horsham,H,Thursday,Tuesday,5,Result,Monday,AM,,PM,1
Worthing,H,Thursday,Tuesday,5,Result,Monday,AM,,PM,1
Crawley,H,Saturday,Tuesday,10,Result,Null,Null,,Unknown,NotCheckedBefore
Croydon,H,Friday,Tuesday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
Croydon,H,Friday,Tuesday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
Croydon,H,Friday,Tuesday,4,Non-recResult,Null,Null,,PM,NotCheckedBefore
CamberwellGreen,H,Friday,Tuesday,4,Result,Null,Null,,PM,NotCheckedBefore
CamberwellGreen,H,Friday,Tuesday,4,Result,Null,Null,,PM,NotCheckedBefore
Barkingside,B,Friday,Tuesday,4,Result,Null,Null,,PM,NotCheckedBefore
Maidstone,H,Thursday,Tuesday,5,Result,Monday,AM,,PM,1
Thames,L,Friday,Tuesday,4,BailCon,Null,Null,,PM,NotCheckedBefore
Thames,L,Friday,Tuesday,4,BailCon,Null,Null,,PM,NotCheckedBefore
Reading,B,Friday,Tuesday,4,Result,Null,Null,,PM,NotCheckedBefore
Reading,B,Friday,Tuesday,4,Result,Null,Null,,PM,NotCheckedBefore
Chelmsford,B,Wednesday,Tuesday,6,Result,Monday,AM,,PM,1
Colchester,B,Tuesday,Tuesday,7,Result,Monday,AM,,PM,1
Willesden,L,Friday,Tuesday,4,Result,Null,Null,,PM,NotCheckedBefore
Bromley,H,Friday,Tuesday,4,Result,Null,Null,,PM,NotCheckedBefore
CityofLondon,B,Friday,Tuesday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
Tottenham,B,Friday,Tuesday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
Westminster,L,Friday,Tuesday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
CentralCriminal,B,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Thames,B,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Croydon,H,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Bromley,H,Tuesday,Monday,6,Result,Thursday,AM,,AM,4
HighburyCorner,L,Thursday,Monday,4,BailCon,Null,Null,,AM,NotCheckedBefore
Croydon,H,Thursday,Monday,4,BailCon,Null,Null,,AM,NotCheckedBefore
Thames,B,Thursday,Monday,4,BailCon,Null,Null,,AM,NotCheckedBefore
Thames,L,Wednesday,Monday,5,Adjournment,Null,Null,,AM,NotCheckedBefore
CityofLondon,L,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Bexley,H,Wednesday,Monday,5,Result,Null,Null,,AM,NotCheckedBefore
WestHampshire,H,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Worthing,H,Thursday,Monday,11,Result,Friday,AM,,Unknown,3
Guildford,H,Wednesday,Monday,5,Result,Friday,AM,,AM,3
Brighton&Hove,H,Tuesday,Monday,6,Warrant,Friday,AM,,AM,3
Eastbourne,H,Thursday,Monday,4,Warrant,Null,Null,,AM,NotCheckedBefore
CamberwellGreen,H,Wednesday,Monday,5,Adjournment,Friday,AM,,AM,3
Worthing,H,Monday,Monday,7,Adjournment,Friday,AM,,AM,3
Worthing,H,Tuesday,Monday,6,Adjournment,Friday,AM,,AM,3
Redhill,H,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
LavenderHill,H,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Romford,B,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Sevenoaks,H,Wednesday,Monday,5,Adjournment,Friday,AM,,AM,3
StAlbans,B,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
StAlbans,B,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
InnerLondon,L,Friday,Monday,3,Adjournment,Null,Null,,AM,NotCheckedBefore
Watford,B,Thursday,Monday,4,BailCon,Null,Null,,AM,NotCheckedBefore
Wimbledon,H,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
CamberwellGreen,B,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
CamberwellGreen,H,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Romford,B,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Romford,B,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Maidstone,H,Wednesday,Monday,5,Result,Friday,AM,,AM,3
Westminster,L,Thursday,Monday,4,Warrant,Null,Null,,AM,NotCheckedBefore
Hendon,L,Wednesday,Monday,5,Warrant,Null,Null,,AM,NotCheckedBefore
Westminster,H,Thursday,Monday,4,Warrant,Null,Null,,AM,NotCheckedBefore
Ealing,L,Thursday,Monday,4,Warrant,Null,Null,,AM,NotCheckedBefore
Aylesbury,B,Wednesday,Monday,5,Warrant,Friday,AM,,AM,3
Westminster,L,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,H,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Westminster,B,Wednesday,Monday,5,Result,Friday,AM,,AM,3
Westminster,H,Thursday,Monday,4,Result,Friday,AM,,AM,3
Westminster,H,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Result,Friday,AM,,AM,3
Westminster,L,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Westminster,L,Wednesday,Monday,5,Result,Friday,AM,,AM,3
Westminster,L,Wednesday,Monday,5,Result,Friday,AM,,AM,3
Westminster,L,Wednesday,Monday,5,Result,Friday,AM,,AM,3
Thames,B,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Bexley,H,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
MiltonKeynes,B,Wednesday,Monday,5,Result,Null,Null,,AM,NotCheckedBefore
Westminster,L,Monday,Monday,7,Result,Wednesday,AM,,AM,5
Westminster,B,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,BailCon,Null,Null,,AM,NotCheckedBefore
Westminster,H,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,H,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,BailCon,Null,Null,,AM,NotCheckedBefore
Thames,L,Wednesday,Monday,12,Adjournment,Wednesday,AM,,Unknown,5
Huntingdon,B,Thursday,Monday,4,BailCon,Null,Null,,AM,NotCheckedBefore
Thames,L,Friday,Thursday,6,Adjournment,Wednesday,AM,,PM,1
Thames,L,Friday,Thursday,6,Adjournment,Wednesday,AM,,PM,1
Thames,B,Friday,Thursday,6,Adjournment,Wednesday,AM,,PM,1
Thames,L,Monday,Thursday,3,Adjournment,Wednesday,AM,,PM,1
CityofLondon,B,Tuesday,Thursday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
CityofLondon,B,Tuesday,Thursday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
Croydon,H,Tuesday,Thursday,2,Adjournment,Null,Null,,PM,NotCheckedBefore
